# star_name   x   y   file
 Betelgeuse   791 1076  2018_01_26__20_36_06.fits
 Sirius       477 911   2018_01_26__20_36_06.fits
 Procyon      514 1309  2018_01_26__20_36_06.fits
 Capella       1215 1444 2018_01_26__20_36_06.fits

 Betelgeuse  1722 681  2018_01_27__01_26_39.fits
 Rigel       1775 455  2018_01_27__01_26_39.fits
 Sirius      1403 401  2018_01_27__01_26_39.fits
 Procyon     1358 727  2018_01_27__01_26_39.fits
 Polaris     1611 1878 2018_01_27__01_26_39.fits
 Mizar       1064 1841 2018_01_27__01_26_39.fits
 Regulus     932.4 1048 2018_01_27__01_26_39.fits

Mizar        1466 1436  2018_01_27__06_19_01.fits
Polaris      1607 1889  2018_01_27__06_19_01.fits
Arcturus     1118 1048  2018_01_27__06_19_01.fits
Regulus      1870 745  2018_01_27__06_19_01.fits
