C.D.S.  -  SIMBAD4 rel 1.6  -  2018.04.05EDT12:46:12

Vmag < 7.1 & otype = "*" & dec >= 0
-----------------------------------

Number of objects : 8921

 #  |       identifier        |typ|  coord1 (ICRS,J2000/2000)   |Mag U |Mag B |Mag V |Mag R |Mag I |Mag u |Mag g |Mag r |Mag i |Mag z |      spec. type      |#not
----|-------------------------|---|-----------------------------|------|------|------|------|------|------|------|------|------|------|----------------------|----
1   |HD 200253                |*  |21 01 12.86461 +36 01 33.6341|     ~| 7.000| 5.997|     ~|     ~|     ~|     ~|     ~|     ~|     ~|G5III                 |   0
2   |* 61 Cyg B               |Fl*|21 06 55.26395 +38 44 31.4032| 8.63 | 7.40 | 6.03 | 4.86 | 3.55 |     ~|     ~|     ~|     ~|     ~|K7V                   |   1
3   |* tau Cyg                |dS*|21 14 47.49252 +38 02 43.1441| 4.140| 4.120| 3.730| 3.38 | 3.14 |     ~|     ~|     ~|     ~|     ~|F2IV                  |   0
4   |* tau Cyg A              |PM*|21 14 47.461 +38 02 43.35    |     ~| 4.23 | 3.83 |     ~|     ~|     ~|     ~|     ~|     ~|     ~|~                     |   1
5   |* tau Cyg B              |PM*|21 14 47.463 +38 02 44.14    |     ~| 7.50 | 6.57 |     ~|     ~|     ~|     ~|     ~|     ~|     ~|~                     |   1
6   |* 61 Cyg A               |BY*|21 06 53.95249 +38 44 57.9854| 7.50 | 6.39 | 5.21 | 4.19 | 3.54 |     ~|     ~|     ~|     ~|     ~|K5V                   |   0
7   |HD 203112                |*  |21 19 00.03804 +39 44 57.6345|     ~| 6.642| 6.672|     ~|     ~|     ~|     ~|     ~|     ~|     ~|A0                    |   0
8   |* sig Cyg                |sg*|21 17 24.95244 +39 23 40.8528| 3.98 | 4.37 | 4.24 | 4.06 | 3.92 |     ~|     ~|     ~|     ~|     ~|A0Ia                  |   0
9   |HD 202880                |PM*|21 17 36.3721 +39 12 35.801  |     ~| 7.315| 6.978|     ~|     ~|     ~|     ~|     ~|     ~|     ~|F5                    |   0
10  |HD 203155                |*  |21 19 19.8170 +38 48 23.675  |     ~| 7.49 | 6.99 |     ~|     ~|     ~|     ~|     ~|     ~|     ~|F5                    |   0
11  |HD 203696                |*  |21 22 46.83402 +38 38 03.3896|     ~| 6.643| 6.617|     ~|     ~|     ~|     ~|     ~|     ~|     ~|A1V                   |   0
12  |V* V1334 Cyg             |cC*|21 19 22.18001 +38 14 14.9142|     ~| 6.364| 5.882|     ~|     ~|     ~|     ~|     ~|     ~|     ~|F1II+B7.0V            |   1
13  |* 74 Cyg                 |** |21 36 56.97596 +40 24 48.6756|     ~| 5.220| 5.035|     ~|     ~|     ~|     ~|     ~|     ~|     ~|A3Vn                  |   0
14  |HD 205952                |*  |21 37 48.6686 +39 19 01.838  |     ~| 6.70 | 6.75 |     ~|     ~|     ~|     ~|     ~|     ~|     ~|B9                    |   0
15  |HD 206261                |*  |21 39 53.7614 +39 30 53.837  |     ~| 7.24 | 6.98 |     ~|     ~|     ~|     ~|     ~|     ~|     ~|A2                    |   0
16  |HD 206749                |V* |21 43 06.47103 +41 09 17.8918|     ~| 7.106| 5.505|     ~|     ~|     ~|     ~|     ~|     ~|     ~|M2IIIbCa1             |   0
17  |HD 207673                |*  |21 49 40.0941 +41 08 55.633  | 6.97 | 6.90 | 6.48 |     ~|     ~|     ~|     ~|     ~|     ~|     ~|A2Ib                  |   0
18  |* 77 Cyg                 |SB*|21 42 22.95887 +41 04 37.2737|     ~| 5.777| 5.726|     ~|     ~|     ~|     ~|     ~|     ~|     ~|A0V+A0V               |   1
19  |HD 206267A               |** |21 38 57.61 +57 29 20.5      |     ~|     ~| 5.62 |     ~|     ~|     ~|     ~|     ~|     ~|     ~|O6.5V((f))+O9/B0V     |   0
20  |* 76 Cyg                 |PM*|21 41 34.2555 +40 48 18.792  |     ~| 6.132| 6.075|     ~|     ~|     ~|     ~|     ~|     ~|     ~|A2V                   |   0
21  |HD 209342                |*  |22 01 42.9951 +41 32 20.930  | 9.360| 8.200| 6.980|     ~|     ~|     ~|     ~|     ~|     ~|     ~|K2                    |   0
22  |HD 210496                |*  |22 09 45.6780 +43 11 11.534  |     ~| 8.58 | 7.10 |     ~|     ~|     ~|     ~|     ~|     ~|     ~|K5                    |   0
23  |HD 210666                |*  |22 11 03.7127 +43 01 50.455  |     ~| 7.88 | 6.76 |     ~|     ~|     ~|     ~|     ~|     ~|     ~|K0                    |   0
24  |HD 211211                |PM*|22 14 44.3669 +42 57 14.067  | 5.680| 5.720| 5.720|     ~|     ~|     ~|     ~|     ~|     ~|     ~|A2Vnn                 |   0
25  |HD 211274                |PM*|22 15 03.5073 +43 46 24.002  |     ~| 7.93 | 6.83 |     ~|     ~|     ~|     ~|     ~|     ~|     ~|K0                    |   0
26  |HD 214097                |*  |22 35 15.6607 +45 09 12.257  |     ~| 8.34 | 6.97 |     ~|     ~|     ~|     ~|     ~|     ~|     ~|K5                    |   0
27  |HD 213061                |*  |22 28 03.5116 +44 07 14.082  |     ~| 8.22 | 6.56 |     ~|     ~|     ~|     ~|     ~|     ~|     ~|K5                    |   1
28  |* 6 Lac                  |SB*|22 30 29.26005 +43 07 24.1565| 3.68 | 4.400| 4.511|     ~|     ~|     ~|     ~|     ~|     ~|     ~|B2IV                  |   0
29  |HD 214557                |PM*|22 38 11.6306 +45 49 40.092  |     ~| 7.55 | 7.07 | 6.7  | 6.4  |     ~|     ~|     ~|     ~|     ~|F8                    |   0
30  |HD 215566                |V* |22 45 24.4813 +44 45 08.752  |     ~| 6.96 | 6.99 |     ~|     ~|     ~|     ~|     ~|     ~|     ~|B9                    |   0
31  |HD 215664                |dS*|22 46 10.22225 +44 32 45.7941| 6.250| 6.180| 5.840|     ~|     ~|     ~|     ~|     ~|     ~|     ~|F0III-IV              |   0
32  |HD 214558                |** |22 38 17.4038 +45 10 58.598  | 7.570| 7.130| 6.370|     ~|     ~|     ~|     ~|     ~|     ~|     ~|G6III+kA5.5:hA8.5:mF0 |   0
33  |HD 214608                |SB*|22 38 47.47147 +44 18 50.0318|     ~| 7.38 | 6.83 | 6.5  | 6.2  |     ~|     ~|     ~|     ~|     ~|F9V                   |   0
34  |* 11 Lac                 |PM*|22 40 30.85881 +44 16 34.7042| 7.15 | 5.79 | 4.46 | 3.54 | 2.86 |     ~|     ~|     ~|     ~|     ~|K2.5III               |   0
35  |HD 216511                |*  |22 52 49.3585 +46 32 54.280  |     ~| 6.77 | 6.81 |     ~|     ~|     ~|     ~|     ~|     ~|     ~|B9                    |   0
36  |HD 216608                |SB*|22 53 40.15601 +44 44 56.9969|     ~| 6.075| 5.808|     ~|     ~|     ~|     ~|     ~|     ~|     ~|kA3VmF2III/IVp        |   0
37  |HD 216608A               |*  |22 53 40.156 +44 44 56.98    |     ~| 6.193| 5.940|     ~|     ~|     ~|     ~|     ~|     ~|     ~|A3Vm                  |   0
38  |HD 217491                |*  |23 00 34.39334 +45 22 29.3045| 7.060| 6.780| 6.490|     ~|     ~|     ~|     ~|     ~|     ~|     ~|A3V                   |   0
39  |HD 216850                |*  |22 55 47.0216 +44 18 29.647  |     ~| 7.67 | 6.82 |     ~|     ~|     ~|     ~|     ~|     ~|     ~|K0                    |   0
40  |HD 217731                |*  |23 02 11.32510 +44 34 22.2904|     ~| 7.39 | 6.43 |     ~|     ~|     ~|     ~|     ~|     ~|     ~|K0                    |   0
